,Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
43,2024-01-01,Air Canada,18h 10m,New York,Dubai,4:40 pm,7:50 pm,3h 11m,Toronto Pearson Intl,1,1.0,1.0,"1,179"
44,2024-01-01,Air Canada,18h 20m,New York,Dubai,4:30 pm,7:50 pm,3h 19m,Toronto Pearson Intl,1,1.0,1.0,"1,179"
45,2024-01-01,Lufthansa,17h 45m,New York,Dubai,8:10 pm,10:55 pm,"1h 05m,1h 25m","London Heathrow,Frankfurt am Main",2,1.0,2.0,"1,215"
46,2024-01-01,SWISS,17h 30m,New York,Dubai,7:45 pm,10:15 pm,"1h 15m,1h 35m","Geneva Geneve-Cointrin,Zurich",2,1.0,2.0,"1,235"
47,2024-01-02,Emirates,12h 25m,New York,Dubai,11:00 pm,8:25 pm,,,0,1.0,2.0,"1,138"
48,2024-01-02,EL AL,15h 35m,New York,Dubai,5:00 pm,5:35 pm,2h 15m,Tel Aviv Ben Gurion Intl,1,1.0,1.0,729
49,2024-01-02,Royal Jordanian,15h 25m,New York,Dubai,9:10 pm,9:35 pm,1h 25m,Amman Queen Alia Intl,1,1.0,2.0,828
50,2024-01-02,Emirates,12h 25m,New York,Dubai,11:00 pm,8:25 pm,,,0,1.0,2.0,"1,120"
51,2024-01-02,Emirates,12h 30m,New York,Dubai,10:40 am,8:10 am,,,0,1.0,2.0,"1,120"
52,2024-01-02,Egypt Air,18h 00m,New York,Dubai,12:00 pm,3:00 pm,4h 30m,Cairo,1,1.0,2.0,773
53,2024-01-02,SAUDIA,16h 00m,New York,Dubai,11:00 am,12:00 pm,2h 05m,Riyadh King Khaled Intl,1,1.0,2.0,858
54,2024-01-02,Emirates,15h 40m,New York,Dubai,11:45 pm,12:25 am,,,0,1.0,2.0,"1,149"
55,2024-01-02,United Airlines,13h 10m,New York,Dubai,9:30 pm,7:40 pm,,,0,1.0,1.0,"1,175"
56,2024-01-02,EL AL,19h 20m,New York,Dubai,1:15 pm,5:35 pm,6h 00m,Tel Aviv Ben Gurion Intl,1,1.0,1.0,790
57,2024-01-02,Kuwait Airways,19h 55m,New York,Dubai,5:00 pm,9:55 pm,6h 00m,Kuwait City,1,1.0,2.0,787
58,2024-01-02,Kuwait Airways,15h 55m,New York,Dubai,5:00 pm,5:55 pm,2h 00m,Kuwait City,1,1.0,2.0,883
59,2024-01-02,SAUDIA,17h 00m,New York,Dubai,11:00 am,1:00 pm,3h 05m,Riyadh King Khaled Intl,1,1.0,2.0,858
60,2024-01-02,Egypt Air,22h 00m,New York,Dubai,12:00 pm,7:00 pm,8h 25m,Cairo,1,1.0,2.0,773
61,2024-01-02,SAUDIA,18h 30m,New York,Dubai,11:00 am,2:30 pm,4h 35m,Riyadh King Khaled Intl,1,1.0,2.0,858
62,2024-01-02,Etihad Airways,16h 00m,New York,Dubai,10:00 pm,11:00 pm,1h 30m,Abu Dhabi Intl,1,1.0,2.0,"1,005"
63,2024-01-02,Etihad Airways,16h 00m,New York,Dubai,10:00 pm,11:00 pm,1h 30m,Abu Dhabi Intl,1,1.0,2.0,"1,005"
64,2024-01-02,Turkish Airlines,15h 30m,New York,Dubai,12:50 pm,1:20 pm,1h 15m,Istanbul,1,1.0,2.0,"1,026"
65,2024-01-02,Turkish Airlines,15h 55m,New York,Dubai,12:20 am,1:15 am,1h 30m,Istanbul,1,1.0,2.0,"1,026"
66,2024-01-02,Qatar Airways,14h 50m,New York,Dubai,10:25 am,10:15 am,1h 10m,Doha Hamad Intl,1,1.0,2.0,"1,086"
67,2024-01-02,Turkish Airlines,16h 35m,New York,Dubai,11:40 pm,1:15 am,2h 25m,Istanbul,1,1.0,2.0,"1,026"
68,2024-01-02,SAUDIA,20h 45m,New York,Dubai,11:00 am,4:45 pm,6h 50m,Riyadh King Khaled Intl,1,1.0,2.0,869
69,2024-01-02,Emirates,15h 40m,New York,Dubai,11:45 pm,12:25 am,2h 00m,Athens Eleftherios V.,1,1.0,2.0,"1,120"
70,2024-01-02,Turkish Airlines,17h 45m,New York,Dubai,12:20 am,3:05 am,3h 20m,Istanbul,1,1.0,0.0,"1,060"
71,2024-01-02,SWISS,15h 10m,New York,Dubai,10:05 pm,10:15 pm,1h 25m,Zurich,1,1.0,2.0,"1,197"
72,2024-01-02,Turkish Airlines,18h 25m,New York,Dubai,11:40 pm,3:05 am,4h 15m,Istanbul,1,1.0,0.0,"1,060"
