,Date,Airline,Duration,Source,Destination,Departure Time,Arrival Time,Layover Time,Layover Cities,Total stops,Carry bags Count,Checkin bags Count,Price
42,2024-02-01,Turkish Airlines,16h 35m,New York,Dubai,11:40 pm,1:15 am,2h 25m,Istanbul,1,1.0,2.0,"1,072"
43,2024-02-01,Air Canada,19h 15m,New York,Dubai,3:35 pm,7:50 pm,4h 16m,Toronto Pearson Intl,1,1.0,1.0,"1,009"
44,2024-02-01,"Norse Atlantic Airways, Royal Jordanian",18h 20m,New York,Dubai,11:55 pm,3:15 am,"1h 50m,1h 05m","Paris Charles de Gaulle,Amman Queen Alia Intl",2,1.0,0.0,766
45,2024-02-01,"United Airlines, SWISS",18h 25m,New York,Dubai,6:50 pm,10:15 pm,4h 25m,Zurich,1,1.0,2.0,"1,026"
46,2024-02-01,Emirates,15h 40m,New York,Dubai,11:45 pm,12:25 am,2h 00m,Athens Eleftherios V.,1,1.0,2.0,"1,130"
47,2024-02-01,United Airlines,18h 01m,New York,Dubai,7:54 pm,10:55 pm,"0h 45m,1h 40m","Washington, D.C. Dulles Intl,Frankfurt am Main",2,1.0,2.0,"1,051"
48,2024-02-01,Turkish Airlines,15h 55m,New York,Dubai,12:20 am,1:15 am,1h 30m,Istanbul,1,1.0,2.0,"1,072"
49,2024-02-01,Lufthansa,17h 45m,New York,Dubai,8:10 pm,10:55 pm,"1h 05m,1h 25m","London Heathrow,Frankfurt am Main",2,1.0,2.0,"1,066"
50,2024-02-01,Qatar Airways,20h 16m,New York,Dubai,3:59 pm,9:15 pm,"4h 00m,1h 45m","Boston Logan Intl,Doha Hamad Intl",2,1.0,2.0,934
51,2024-02-01,United Airlines,18h 20m,New York,Dubai,7:35 pm,10:55 pm,"1h 07m,1h 40m","Washington, D.C. Dulles Intl,Frankfurt am Main",2,1.0,2.0,"1,051"
52,2024-02-01,SWISS,17h 30m,New York,Dubai,7:45 pm,10:15 pm,"1h 15m,1h 35m","Geneva Geneve-Cointrin,Zurich",2,1.0,2.0,"1,062"
53,2024-02-01,SWISS,17h 30m,New York,Dubai,7:45 pm,10:15 pm,"2h 00m,0h 55m","Geneva Geneve-Cointrin,Zurich",2,1.0,2.0,"1,062"
54,2024-02-01,SWISS,18h 25m,New York,Dubai,6:50 pm,10:15 pm,"1h 40m,2h 00m","Brussels Bruxelles-National,Zurich",2,1.0,2.0,"1,058"
55,2024-02-01,SWISS,18h 30m,New York,Dubai,6:45 pm,10:15 pm,"1h 55m,1h 20m","London Heathrow,Zurich",2,1.0,2.0,"1,053"
56,2024-02-01,"United Airlines, SWISS",18h 25m,New York,Dubai,6:50 pm,10:15 pm,"1h 40m,2h 00m","Brussels Bruxelles-National,Zurich",2,1.0,2.0,"1,060"
57,2024-02-01,SWISS,18h 55m,New York,Dubai,6:20 pm,10:15 pm,"2h 25m,1h 50m","Paris Charles de Gaulle,Zurich",2,1.0,1.0,"1,047"
58,2024-02-01,United Airlines,19h 45m,New York,Dubai,6:10 pm,10:55 pm,5h 55m,Frankfurt am Main,1,1.0,2.0,"1,051"
59,2024-02-01,SWISS,19h 05m,New York,Dubai,6:10 pm,10:15 pm,"2h 35m,1h 50m","Amsterdam Schiphol,Zurich",2,1.0,2.0,"1,050"
60,2024-02-01,SWISS,19h 15m,New York,Dubai,6:00 pm,10:15 pm,"2h 30m,1h 20m","London Heathrow,Zurich",2,1.0,2.0,"1,053"
61,2024-02-01,Air Canada,20h 45m,New York,Dubai,2:05 pm,7:50 pm,5h 46m,Toronto Pearson Intl,1,1.0,1.0,"1,009"
62,2024-02-01,SWISS,19h 10m,New York,Dubai,6:05 pm,10:15 pm,"2h 30m,1h 20m","Milan Malpensa,Zurich",2,1.0,2.0,"1,060"
63,2024-02-01,United Airlines,19h 46m,New York,Dubai,5:29 pm,10:15 pm,"3h 07m,1h 55m","Boston Logan Intl,Zurich",2,1.0,2.0,"1,026"
64,2024-02-01,"United Airlines, SWISS",19h 46m,New York,Dubai,5:29 pm,10:15 pm,"3h 07m,1h 55m","Boston Logan Intl,Zurich",2,1.0,2.0,"1,026"
65,2024-02-01,"United Airlines, SWISS",18h 30m,New York,Dubai,6:45 pm,10:15 pm,"1h 55m,1h 20m","London Heathrow,Zurich",2,1.0,2.0,"1,056"
66,2024-02-01,Turkish Airlines,17h 35m,New York,Dubai,12:20 am,2:55 am,3h 10m,Istanbul,1,1.0,0.0,"1,099"
67,2024-02-01,Lufthansa,19h 10m,New York,Dubai,6:45 pm,10:55 pm,"2h 35m,1h 25m","London Heathrow,Frankfurt am Main",2,1.0,2.0,"1,066"
68,2024-02-01,SWISS,20h 50m,New York,Dubai,4:25 pm,10:15 pm,6h 55m,Zurich,1,1.0,2.0,"1,024"
69,2024-02-01,United Airlines,20h 50m,New York,Dubai,4:25 pm,10:15 pm,6h 55m,Zurich,1,1.0,2.0,"1,026"
70,2024-02-01,SWISS,19h 35m,New York,Dubai,5:40 pm,10:15 pm,"1h 45m,1h 45m","Rome Fiumicino,Zurich",2,1.0,2.0,"1,050"
71,2024-02-01,Lufthansa,19h 45m,New York,Dubai,6:10 pm,10:55 pm,5h 55m,Frankfurt am Main,1,1.0,2.0,"1,049"
72,2024-02-01,Air Canada,20h 15m,New York,Dubai,2:35 pm,7:50 pm,"2h 43m,1h 15m","Ottawa,Toronto Pearson Intl",2,1.0,1.0,"1,009"
